"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\eqz03\frc_app\lib\app.dart", "Dart", 36, 3, 9, 48
"c:\Users\eqz03\frc_app\lib\home\home_page.dart", "Dart", 58, 2, 8, 68
"c:\Users\eqz03\frc_app\lib\main.dart", "Dart", 5, 0, 1, 6
"c:\Users\eqz03\frc_app\lib\widgets\app_drawer.dart", "Dart", 57, 0, 5, 62
"c:\Users\eqz03\frc_app\lib\widgets\app_header.dart", "Dart", 56, 1, 4, 61
"c:\Users\eqz03\frc_app\lib\widgets\user_menu\user_menu.dart", "Dart", 61, 0, 5, 66
"Total", "-", 273, 6, 32, 311
