"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\eqz03\frc-app\lib\app.dart", "Dart", 43, 0, 1, 44
"c:\Users\eqz03\frc-app\lib\home\home_page.dart", "Dart", -48, -3, -2, -53
"c:\Users\eqz03\frc-app\lib\navigation_stuff.dart", "Dart", 2, 2, 2, 6
"c:\Users\eqz03\frc-app\lib\pages\dashboard_page.dart", "Dart", 56, 3, 2, 61
"c:\Users\eqz03\frc-app\lib\widgets\app_header.dart", "Dart", 3, -16, 0, -13
"Total", "-", 56, -14, 3, 45
